Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
2425,02/11/2024,Bayern Munich,Union Berlin,3,0,H
2425,02/11/2024,Ein Frankfurt,Bochum,7,2,H
2425,02/11/2024,Hoffenheim,St Pauli,0,2,A
2425,02/11/2024,Holstein Kiel,Heidenheim,1,0,H
2425,02/11/2024,Wolfsburg,Augsburg,1,1,D
2425,02/11/2024,Dortmund,RB Leipzig,2,1,H
2425,03/11/2024,Freiburg,Mainz,0,0,D
2425,03/11/2024,M'gladbach,Werder Bremen,4,1,H
2425,08/11/2024,Union Berlin,Freiburg,0,0,D
2425,09/11/2024,Bochum,Leverkusen,1,1,D
2425,09/11/2024,Mainz,Dortmund,3,1,H
2425,09/11/2024,St Pauli,Bayern Munich,0,1,A
2425,09/11/2024,Werder Bremen,Holstein Kiel,2,1,H
2425,09/11/2024,RB Leipzig,M'gladbach,0,0,D
2425,10/11/2024,Augsburg,Hoffenheim,0,0,D
2425,10/11/2024,Stuttgart,Ein Frankfurt,2,3,A
2425,10/11/2024,Heidenheim,Wolfsburg,1,3,A
2425,22/11/2024,Bayern Munich,Augsburg,3,0,H
2425,23/11/2024,Dortmund,Freiburg,4,0,H
2425,23/11/2024,Hoffenheim,RB Leipzig,4,3,H
2425,23/11/2024,Leverkusen,Heidenheim,5,2,H
2425,23/11/2024,Stuttgart,Bochum,2,0,H
2425,23/11/2024,Wolfsburg,Union Berlin,1,0,H
2425,23/11/2024,Ein Frankfurt,Werder Bremen,1,0,H
2425,24/11/2024,Holstein Kiel,Mainz,0,3,A
2425,24/11/2024,M'gladbach,St Pauli,2,0,H
2425,29/11/2024,St Pauli,Holstein Kiel,3,1,H
2425,30/11/2024,Augsburg,Bochum,1,0,H
2425,30/11/2024,Freiburg,M'gladbach,3,1,H
2425,30/11/2024,RB Leipzig,Wolfsburg,1,5,A
2425,30/11/2024,Union Berlin,Leverkusen,1,2,A
2425,30/11/2024,Werder Bremen,Stuttgart,2,2,D
2425,30/11/2024,Dortmund,Bayern Munich,1,1,D
2425,01/12/2024,Mainz,Hoffenheim,2,0,H
2425,01/12/2024,Heidenheim,Ein Frankfurt,0,4,A
2425,06/12/2024,Stuttgart,Union Berlin,3,2,H
2425,07/12/2024,Bayern Munich,Heidenheim,4,2,H
2425,07/12/2024,Bochum,Werder Bremen,0,1,A
2425,07/12/2024,Ein Frankfurt,Augsburg,2,2,D
2425,07/12/2024,Holstein Kiel,RB Leipzig,0,2,A
2425,07/12/2024,Leverkusen,St Pauli,2,1,H
2425,07/12/2024,M'gladbach,Dortmund,1,1,D
2425,08/12/2024,Wolfsburg,Mainz,4,3,H
2425,08/12/2024,Hoffenheim,Freiburg,1,1,D
2425,13/12/2024,Freiburg,Wolfsburg,3,2,H
2425,14/12/2024,Augsburg,Leverkusen,0,2,A
2425,14/12/2024,Mainz,Bayern Munich,2,1,H
2425,14/12/2024,M'gladbach,Holstein Kiel,4,1,H
2425,14/12/2024,Union Berlin,Bochum,0,2,A
2425,14/12/2024,St Pauli,Werder Bremen,0,2,A
2425,15/12/2024,Heidenheim,Stuttgart,1,3,A
2425,15/12/2024,Dortmund,Hoffenheim,1,1,D
2425,15/12/2024,RB Leipzig,Ein Frankfurt,2,1,H
2425,20/12/2024,Bayern Munich,RB Leipzig,5,1,H
2425,21/12/2024,Ein Frankfurt,Mainz,1,3,A
2425,21/12/2024,Hoffenheim,M'gladbach,1,2,A
2425,21/12/2024,Holstein Kiel,Augsburg,5,1,H
2425,21/12/2024,Stuttgart,St Pauli,0,1,A
2425,21/12/2024,Werder Bremen,Union Berlin,4,1,H
2425,21/12/2024,Leverkusen,Freiburg,5,1,H
2425,22/12/2024,Bochum,Heidenheim,2,0,H
2425,22/12/2024,Wolfsburg,Dortmund,1,3,A
2425,10/01/2025,Dortmund,Leverkusen,2,3,A
2425,11/01/2025,Freiburg,Holstein Kiel,3,2,H
2425,11/01/2025,Heidenheim,Union Berlin,2,0,H
2425,11/01/2025,Hoffenheim,Wolfsburg,0,1,A
2425,11/01/2025,Mainz,Bochum,2,0,H
2425,11/01/2025,St Pauli,Ein Frankfurt,0,1,A
2425,11/01/2025,M'gladbach,Bayern Munich,0,1,A
2425,12/01/2025,RB Leipzig,Werder Bremen,4,2,H
2425,12/01/2025,Augsburg,Stuttgart,0,1,A
2425,14/01/2025,Holstein Kiel,Dortmund,4,2,H
2425,14/01/2025,Ein Frankfurt,Freiburg,4,1,H
2425,14/01/2025,Leverkusen,Mainz,1,0,H
2425,14/01/2025,Wolfsburg,M'gladbach,5,1,H
2425,15/01/2025,Bochum,St Pauli,1,0,H
2425,15/01/2025,Bayern Munich,Hoffenheim,5,0,H
2425,15/01/2025,Stuttgart,RB Leipzig,2,1,H
2425,15/01/2025,Union Berlin,Augsburg,0,2,A
2425,15/01/2025,Werder Bremen,Heidenheim,3,3,D
2425,17/01/2025,Ein Frankfurt,Dortmund,2,0,H
2425,18/01/2025,Bayern Munich,Wolfsburg,3,2,H
2425,18/01/2025,Bochum,RB Leipzig,3,3,D
2425,18/01/2025,Heidenheim,St Pauli,0,2,A
2425,18/01/2025,Holstein Kiel,Hoffenheim,1,3,A
2425,18/01/2025,Stuttgart,Freiburg,4,0,H
2425,18/01/2025,Leverkusen,M'gladbach,3,1,H
2425,19/01/2025,Union Berlin,Mainz,2,1,H
2425,19/01/2025,Werder Bremen,Augsburg,0,2,A
2425,24/01/2025,Wolfsburg,Holstein Kiel,2,2,D
2425,25/01/2025,Augsburg,Heidenheim,2,1,H
2425,25/01/2025,Dortmund,Werder Bremen,2,2,D
2425,25/01/2025,Freiburg,Bayern Munich,1,2,A
2425,25/01/2025,Mainz,Stuttgart,2,0,H
2425,25/01/2025,RB Leipzig,Leverkusen,2,2,D
2425,25/01/2025,M'gladbach,Bochum,3,0,H
2425,26/01/2025,Hoffenheim,Ein Frankfurt,2,2,D
2425,26/01/2025,St Pauli,Union Berlin,3,0,H
2425,31/01/2025,Werder Bremen,Mainz,1,0,H
2425,01/02/2025,Bayern Munich,Holstein Kiel,4,3,H
2425,01/02/2025,Bochum,Freiburg,0,1,A
2425,01/02/2025,Heidenheim,Dortmund,1,2,A
2425,01/02/2025,St Pauli,Augsburg,1,1,D
2425,01/02/2025,Stuttgart,M'gladbach,1,2,A
2425,01/02/2025,Union Berlin,RB Leipzig,0,0,D
2425,02/02/2025,Ein Frankfurt,Wolfsburg,1,1,D
2425,02/02/2025,Leverkusen,Hoffenheim,3,1,H
2425,07/02/2025,Bayern Munich,Werder Bremen,3,0,H
2425,08/02/2025,Dortmund,Stuttgart,1,2,A
2425,08/02/2025,Freiburg,Heidenheim,1,0,H
2425,08/02/2025,Hoffenheim,Union Berlin,0,4,A
2425,08/02/2025,Mainz,Augsburg,0,0,D
2425,08/02/2025,Wolfsburg,Leverkusen,0,0,D
2425,08/02/2025,M'gladbach,Ein Frankfurt,1,1,D
2425,09/02/2025,Holstein Kiel,Bochum,2,2,D
2425,09/02/2025,RB Leipzig,St Pauli,2,0,H
2425,14/02/2025,Augsburg,RB Leipzig,0,0,D
2425,15/02/2025,Bochum,Dortmund,2,0,H
2425,15/02/2025,St Pauli,Freiburg,0,1,A
2425,15/02/2025,Stuttgart,Wolfsburg,1,2,A
2425,15/02/2025,Union Berlin,M'gladbach,1,2,A
2425,15/02/2025,Leverkusen,Bayern Munich,0,0,D
2425,16/02/2025,Werder Bremen,Hoffenheim,1,3,A
2425,16/02/2025,Ein Frankfurt,Holstein Kiel,3,1,H
2425,16/02/2025,Heidenheim,Mainz,0,2,A
2425,21/02/2025,Freiburg,Werder Bremen,5,0,H
2425,22/02/2025,Holstein Kiel,Leverkusen,0,2,A
2425,22/02/2025,Mainz,St Pauli,2,0,H
2425,22/02/2025,M'gladbach,Augsburg,0,3,A
2425,22/02/2025,Wolfsburg,Bochum,1,1,D
2425,22/02/2025,Dortmund,Union Berlin,6,0,H
2425,23/02/2025,RB Leipzig,Heidenheim,2,2,D
2425,23/02/2025,Bayern Munich,Ein Frankfurt,4,0,H
2425,23/02/2025,Hoffenheim,Stuttgart,1,1,D
2425,28/02/2025,Stuttgart,Bayern Munich,1,3,A
2425,01/03/2025,Bochum,Hoffenheim,0,1,A
2425,01/03/2025,Heidenheim,M'gladbach,0,3,A
2425,01/03/2025,RB Leipzig,Mainz,1,2,A
2425,01/03/2025,St Pauli,Dortmund,0,2,A
2425,01/03/2025,Werder Bremen,Wolfsburg,1,2,A
2425,01/03/2025,Ein Frankfurt,Leverkusen,1,4,A
2425,02/03/2025,Union Berlin,Holstein Kiel,0,1,A
2425,02/03/2025,Augsburg,Freiburg,0,0,D
2425,07/03/2025,M'gladbach,Mainz,1,3,A
2425,08/03/2025,Bayern Munich,Bochum,2,3,A
2425,08/03/2025,Dortmund,Augsburg,0,1,A
2425,08/03/2025,Holstein Kiel,Stuttgart,2,2,D
2425,08/03/2025,Leverkusen,Werder Bremen,0,2,A
2425,08/03/2025,Wolfsburg,St Pauli,1,1,D
2425,08/03/2025,Freiburg,RB Leipzig,0,0,D
2425,09/03/2025,Ein Frankfurt,Union Berlin,1,2,A
2425,09/03/2025,Hoffenheim,Heidenheim,1,1,D
2425,14/03/2025,St Pauli,Hoffenheim,1,0,H
2425,15/03/2025,Augsburg,Wolfsburg,1,0,H
2425,15/03/2025,Mainz,Freiburg,2,2,D
2425,15/03/2025,Union Berlin,Bayern Munich,1,1,D
2425,15/03/2025,Werder Bremen,M'gladbach,2,4,A
2425,15/03/2025,RB Leipzig,Dortmund,2,0,H
2425,16/03/2025,Bochum,Ein Frankfurt,1,3,A
2425,16/03/2025,Heidenheim,Holstein Kiel,3,1,H
2425,16/03/2025,Stuttgart,Leverkusen,3,4,A
2425,28/03/2025,Leverkusen,Bochum,3,1,H
2425,29/03/2025,Bayern Munich,St Pauli,3,2,H
2425,29/03/2025,Hoffenheim,Augsburg,1,1,D
2425,29/03/2025,Holstein Kiel,Werder Bremen,0,3,A
2425,29/03/2025,M'gladbach,RB Leipzig,1,0,H
2425,29/03/2025,Wolfsburg,Heidenheim,0,1,A
2425,29/03/2025,Ein Frankfurt,Stuttgart,1,0,H
2425,30/03/2025,Freiburg,Union Berlin,1,2,A
2425,30/03/2025,Dortmund,Mainz,3,1,H
2425,04/04/2025,Augsburg,Bayern Munich,1,3,A
2425,05/04/2025,Bochum,Stuttgart,0,4,A
2425,05/04/2025,Freiburg,Dortmund,1,4,A
2425,05/04/2025,Heidenheim,Leverkusen,0,1,A
2425,05/04/2025,Mainz,Holstein Kiel,1,1,D
2425,05/04/2025,RB Leipzig,Hoffenheim,3,1,H
2425,05/04/2025,Werder Bremen,Ein Frankfurt,2,0,H
2425,06/04/2025,St Pauli,M'gladbach,1,1,D
2425,06/04/2025,Union Berlin,Wolfsburg,1,0,H
2425,11/04/2025,Wolfsburg,RB Leipzig,2,3,A
2425,12/04/2025,Bochum,Augsburg,1,2,A
2425,12/04/2025,Hoffenheim,Mainz,2,0,H
2425,12/04/2025,Holstein Kiel,St Pauli,1,2,A
2425,12/04/2025,Leverkusen,Union Berlin,0,0,D
2425,12/04/2025,M'gladbach,Freiburg,1,2,A
2425,12/04/2025,Bayern Munich,Dortmund,2,2,D
2425,13/04/2025,Stuttgart,Werder Bremen,1,2,A
2425,13/04/2025,Ein Frankfurt,Heidenheim,3,0,H
2425,19/04/2025,Freiburg,Hoffenheim,3,2,H
2425,19/04/2025,Heidenheim,Bayern Munich,0,4,A
2425,19/04/2025,Mainz,Wolfsburg,2,2,D
2425,19/04/2025,RB Leipzig,Holstein Kiel,1,1,D
2425,19/04/2025,Werder Bremen,Bochum,1,0,H
2425,19/04/2025,Union Berlin,Stuttgart,4,4,D
2425,20/04/2025,Augsburg,Ein Frankfurt,0,0,D
2425,20/04/2025,Dortmund,M'gladbach,3,2,H
2425,20/04/2025,St Pauli,Leverkusen,1,1,D
2425,25/04/2025,Stuttgart,Heidenheim,0,1,A
2425,26/04/2025,Bayern Munich,Mainz,3,0,H
2425,26/04/2025,Hoffenheim,Dortmund,2,3,A
2425,26/04/2025,Holstein Kiel,M'gladbach,4,3,H
2425,26/04/2025,Leverkusen,Augsburg,2,0,H
2425,26/04/2025,Wolfsburg,Freiburg,0,1,A
2425,26/04/2025,Ein Frankfurt,RB Leipzig,4,0,H
2425,27/04/2025,Bochum,Union Berlin,1,1,D
2425,27/04/2025,Werder Bremen,St Pauli,0,0,D
2425,02/05/2025,Heidenheim,Bochum,0,0,D
2425,03/05/2025,M'gladbach,Hoffenheim,4,4,D
2425,03/05/2025,RB Leipzig,Bayern Munich,3,3,D
2425,03/05/2025,St Pauli,Stuttgart,0,1,A
2425,03/05/2025,Union Berlin,Werder Bremen,2,2,D
2425,03/05/2025,Dortmund,Wolfsburg,4,0,H
2425,04/05/2025,Augsburg,Holstein Kiel,1,3,A
2425,04/05/2025,Freiburg,Leverkusen,2,2,D
2425,04/05/2025,Mainz,Ein Frankfurt,1,1,D
2425,09/05/2025,Wolfsburg,Hoffenheim,2,2,D
2425,10/05/2025,Bochum,Mainz,1,4,A
2425,10/05/2025,Holstein Kiel,Freiburg,1,2,A
2425,10/05/2025,Union Berlin,Heidenheim,0,3,A
2425,10/05/2025,Werder Bremen,RB Leipzig,0,0,D
2425,10/05/2025,Bayern Munich,M'gladbach,2,0,H
2425,11/05/2025,Leverkusen,Dortmund,2,4,A
2425,11/05/2025,Ein Frankfurt,St Pauli,2,2,D
2425,11/05/2025,Stuttgart,Augsburg,4,0,H
2425,17/05/2025,Augsburg,Union Berlin,1,2,A
2425,17/05/2025,Dortmund,Holstein Kiel,3,0,H
2425,17/05/2025,Freiburg,Ein Frankfurt,1,3,A
2425,17/05/2025,Heidenheim,Werder Bremen,1,4,A
2425,17/05/2025,Hoffenheim,Bayern Munich,0,4,A
2425,17/05/2025,Mainz,Leverkusen,2,2,D
2425,17/05/2025,M'gladbach,Wolfsburg,0,1,A
2425,17/05/2025,RB Leipzig,Stuttgart,2,3,A
2425,17/05/2025,St Pauli,Bochum,0,2,A
