Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
2425,23/08/2024,M'gladbach,Leverkusen,2,3,A
2425,24/08/2024,Augsburg,Werder Bremen,2,2,D
2425,24/08/2024,Freiburg,Stuttgart,3,1,H
2425,24/08/2024,Hoffenheim,Holstein Kiel,3,2,H
2425,24/08/2024,Mainz,Union Berlin,1,1,D
2425,24/08/2024,RB Leipzig,Bochum,1,0,H
2425,24/08/2024,Dortmund,Ein Frankfurt,2,0,H
2425,25/08/2024,Wolfsburg,Bayern Munich,2,3,A
2425,25/08/2024,St Pauli,Heidenheim,0,2,A
2425,30/08/2024,Union Berlin,St Pauli,1,0,H
2425,31/08/2024,Bochum,M'gladbach,0,2,A
2425,31/08/2024,Ein Frankfurt,Hoffenheim,3,1,H
2425,31/08/2024,Holstein Kiel,Wolfsburg,0,2,A
2425,31/08/2024,Stuttgart,Mainz,3,3,D
2425,31/08/2024,Werder Bremen,Dortmund,0,0,D
2425,31/08/2024,Leverkusen,RB Leipzig,2,3,A
2425,01/09/2024,Heidenheim,Augsburg,4,0,H
2425,01/09/2024,Bayern Munich,Freiburg,2,0,H
2425,13/09/2024,Dortmund,Heidenheim,4,2,H
2425,14/09/2024,Freiburg,Bochum,2,1,H
2425,14/09/2024,Hoffenheim,Leverkusen,1,4,A
2425,14/09/2024,M'gladbach,Stuttgart,1,3,A
2425,14/09/2024,RB Leipzig,Union Berlin,0,0,D
2425,14/09/2024,Wolfsburg,Ein Frankfurt,1,2,A
2425,14/09/2024,Holstein Kiel,Bayern Munich,1,6,A
2425,15/09/2024,Augsburg,St Pauli,3,1,H
2425,15/09/2024,Mainz,Werder Bremen,1,2,A
2425,20/09/2024,Augsburg,Mainz,2,3,A
2425,21/09/2024,Bochum,Holstein Kiel,2,2,D
2425,21/09/2024,Heidenheim,Freiburg,0,3,A
2425,21/09/2024,Union Berlin,Hoffenheim,2,1,H
2425,21/09/2024,Werder Bremen,Bayern Munich,0,5,A
2425,21/09/2024,Ein Frankfurt,M'gladbach,2,0,H
2425,22/09/2024,Leverkusen,Wolfsburg,4,3,H
2425,22/09/2024,Stuttgart,Dortmund,5,1,H
2425,22/09/2024,St Pauli,RB Leipzig,0,0,D
2425,27/09/2024,Dortmund,Bochum,4,2,H
2425,28/09/2024,Freiburg,St Pauli,0,3,A
2425,28/09/2024,Mainz,Heidenheim,0,2,A
2425,28/09/2024,M'gladbach,Union Berlin,1,0,H
2425,28/09/2024,RB Leipzig,Augsburg,4,0,H
2425,28/09/2024,Wolfsburg,Stuttgart,2,2,D
2425,28/09/2024,Bayern Munich,Leverkusen,1,1,D
2425,29/09/2024,Holstein Kiel,Ein Frankfurt,2,4,A
2425,29/09/2024,Hoffenheim,Werder Bremen,3,4,A
2425,04/10/2024,Augsburg,M'gladbach,2,1,H
2425,05/10/2024,Bochum,Wolfsburg,1,3,A
2425,05/10/2024,Leverkusen,Holstein Kiel,2,2,D
2425,05/10/2024,Union Berlin,Dortmund,2,1,H
2425,05/10/2024,Werder Bremen,Freiburg,0,1,A
2425,05/10/2024,St Pauli,Mainz,0,3,A
2425,06/10/2024,Heidenheim,RB Leipzig,0,1,A
2425,06/10/2024,Ein Frankfurt,Bayern Munich,3,3,D
2425,06/10/2024,Stuttgart,Hoffenheim,1,1,D
2425,18/10/2024,Dortmund,St Pauli,2,1,H
2425,19/10/2024,Freiburg,Augsburg,3,1,H
2425,19/10/2024,Hoffenheim,Bochum,3,1,H
2425,19/10/2024,Leverkusen,Ein Frankfurt,2,1,H
2425,19/10/2024,Mainz,RB Leipzig,0,2,A
2425,19/10/2024,M'gladbach,Heidenheim,3,2,H
2425,19/10/2024,Bayern Munich,Stuttgart,4,0,H
2425,20/10/2024,Holstein Kiel,Union Berlin,0,2,A
2425,20/10/2024,Wolfsburg,Werder Bremen,2,4,A
2425,25/10/2024,Mainz,M'gladbach,1,1,D
2425,26/10/2024,Augsburg,Dortmund,2,1,H
2425,26/10/2024,RB Leipzig,Freiburg,3,1,H
2425,26/10/2024,St Pauli,Wolfsburg,0,0,D
2425,26/10/2024,Stuttgart,Holstein Kiel,2,1,H
2425,26/10/2024,Werder Bremen,Leverkusen,2,2,D
2425,27/10/2024,Bochum,Bayern Munich,0,5,A
2425,27/10/2024,Union Berlin,Ein Frankfurt,1,1,D
2425,27/10/2024,Heidenheim,Hoffenheim,0,0,D
2425,01/11/2024,Leverkusen,Stuttgart,0,0,D
